team_id,season,net_rating,ts_pct,pie,top1_oreb_pct,top1_pie,top1_usg_pct,top1_net_rating
1610612738,2022-23,6.7,0.6,0.534,0.029,0.167,0.319,8.5
1610612751,2022-23,1.1,0.598,0.51,0.088,0.134,0.155,3.7
1610612766,2022-23,-6.3,0.551,0.473,0.106,0.133,0.168,-4.7
1610612741,2022-23,1.3,0.587,0.512,0.16,0.156,0.196,2.6
1610612739,2022-23,5.6,0.59,0.531,0.0,0.161,0.182,4.4
1610612742,2022-23,-0.2,0.599,0.487,0.1,0.365,0.227,7.0
1610612743,2022-23,3.3,0.601,0.525,0.08,0.211,0.263,12.5
1610612765,2022-23,-7.9,0.561,0.449,0.0,0.25,0.5,95.0
1610612744,2022-23,1.7,0.6,0.51,0.02,0.166,0.297,5.8
1610612745,2022-23,-8.1,0.554,0.457,0.121,0.17,0.206,18.5
1610612754,2022-23,-3.3,0.581,0.482,0.018,0.159,0.238,-1.0
1610612746,2022-23,0.5,0.588,0.498,0.034,0.159,0.267,6.1
1610612747,2022-23,0.7,0.582,0.511,0.102,0.186,0.277,4.8
1610612763,2022-23,4.0,0.57,0.519,0.029,0.175,0.338,7.3
1610612748,2022-23,-0.5,0.574,0.496,0.068,0.177,0.248,1.2
1610612749,2022-23,3.4,0.583,0.523,0.065,0.204,0.373,7.2
1610612750,2022-23,0.2,0.592,0.503,0.05,0.138,0.25,1.8
1610612740,2022-23,1.9,0.582,0.514,0.06,0.171,0.288,7.8
1610612752,2022-23,2.8,0.577,0.509,0.05,0.148,0.288,2.7
1610612760,2022-23,1.0,0.57,0.498,0.023,0.175,0.318,2.7
1610612753,2022-23,-2.3,0.573,0.485,0.099,0.153,0.198,-5.8
1610612755,2022-23,4.4,0.608,0.524,0.057,0.213,0.37,8.8
1610612756,2022-23,2.2,0.57,0.514,0.012,0.185,0.305,6.8
1610612757,2022-23,-4.0,0.589,0.474,0.022,0.173,0.331,2.1
1610612758,2022-23,2.6,0.608,0.511,0.096,0.161,0.213,3.9
1610612759,2022-23,-9.9,0.554,0.452,0.14,0.121,0.152,-2.4
1610612761,2022-23,1.5,0.555,0.496,0.047,0.135,0.27,2.4
1610612762,2022-23,-0.7,0.584,0.498,0.046,0.159,0.121,-4.2
1610612764,2022-23,-1.2,0.585,0.504,0.057,0.145,0.272,1.4
1610612737,2023-24,-2.0,0.576,0.482,0.011,0.131,0.289,-2.5
1610612738,2023-24,11.7,0.609,0.555,0.026,0.155,0.296,11.2
1610612751,2023-24,-2.9,0.561,0.483,0.163,0.131,0.185,4.8
1610612766,2023-24,-10.6,0.56,0.447,0.038,0.133,0.315,-8.4
1610612741,2023-24,-1.7,0.568,0.493,0.187,0.155,0.201,0.8
1610612739,2023-24,2.5,0.586,0.519,0.024,0.15,0.301,7.3
1610612742,2023-24,2.1,0.592,0.506,0.022,0.2,0.355,5.8
1610612743,2023-24,5.5,0.589,0.533,0.086,0.211,0.288,11.8
1610612765,2023-24,-9.0,0.562,0.449,0.105,0.137,0.181,-7.6
1610612744,2023-24,2.4,0.586,0.512,0.015,0.14,0.302,2.7
1610612745,2023-24,0.9,0.565,0.501,0.1,0.157,0.247,-13.4
1610612754,2023-24,2.9,0.606,0.517,0.0,0.2,0.083,0.0
1610612746,2023-24,3.4,0.599,0.52,0.039,0.154,0.261,8.2
1610612747,2023-24,0.6,0.601,0.518,0.026,0.169,0.285,3.8
1610612763,2023-24,-6.9,0.543,0.458,0.0,0.159,0.154,-75.3
1610612748,2023-24,1.8,0.578,0.509,0.067,0.152,0.247,0.8
1610612749,2023-24,2.6,0.601,0.511,0.077,0.197,0.32,6.6
1610612750,2023-24,6.3,0.594,0.543,0.089,0.178,0.157,3.2
1610612740,2023-24,4.6,0.591,0.524,0.055,0.145,0.285,2.9
1610612752,2023-24,4.9,0.574,0.515,0.04,0.163,0.175,7.5
1610612760,2023-24,7.3,0.608,0.538,0.026,0.187,0.317,11.3
1610612753,2023-24,2.2,0.577,0.513,0.083,0.172,0.182,2.8
1610612755,2023-24,3.1,0.574,0.506,0.074,0.225,0.387,10.3
1610612756,2023-24,3.1,0.603,0.527,0.016,0.148,0.283,4.8
1610612757,2023-24,-9.0,0.539,0.434,0.096,0.141,0.211,-8.7
1610612758,2023-24,1.8,0.582,0.5,0.097,0.169,0.22,0.8
1610612759,2023-24,-6.4,0.563,0.48,0.074,0.162,0.312,-3.2
1610612761,2023-24,-6.3,0.566,0.474,0.5,0.357,0.222,66.1
1610612762,2023-24,-5.1,0.579,0.478,0.065,0.136,0.241,0.6
1610612764,2023-24,-8.7,0.567,0.454,0.182,0.261,0.188,31.8
1610612737,2024-25,-1.1,0.579,0.498,0.046,0.135,0.214,1.6
1610612738,2024-25,9.4,0.591,0.542,0.017,0.158,0.301,9.8
1610612751,2024-25,-7.3,0.552,0.452,0.149,0.134,0.186,2.1
1610612766,2024-25,-9.1,0.537,0.45,0.103,0.156,0.21,-12.7
1610612741,2024-25,-1.6,0.585,0.495,0.076,0.136,0.221,-2.4
1610612739,2024-25,9.2,0.607,0.546,0.076,0.151,0.226,11.9
